source_file,volume_number,issue_number,season_or_month,year
163122_2-1967-09.json,5,1,sept.,1967
163122_2-1966-04.json,3,9,avril,1966
163122_1-1964-01.json,,4,janvier,1964
163122_2-1967-05.json,4,9-10-11-12,mai - août,1967
163122_1-1963-12.json,,3,décembre,1963
163122_1-1965-01.json,2,5,janvier,1965
163122_2-1966-05.json,3,10,mai,1966
163122_2-1968-01.json,5,4,janvier,1968
163122_2-1966-09.json,4,1,sept.-oct.,1966
163122_1-1965-10.json,3,1-2,octobre-novembre,1965
163122_2-1966-02.json,3,7,février,1966
163122_1-1965-06.json,2,10-11,juin-juillet,1965
163122_1-1964-11.json,2,3,novembre,1964
163122_2-1967-03.json,4,7-8,mars - avril,1967
163122_1-1964-10.json,2,2,octobre,1964
163122_1-1964-06.json,9-10-11,9-10-11,été,1964
163122_2-1966-03.json,3,8,mars,1966
163122_2-1967-01.json,4,5 - 6,janv.-fév.,1967
163122_1-1964-05.json,,8,mai,1964
163122_1-1965-04.json,2,8,avril,1965
163122_1-1965-12.json,3,5,décembre,1965
163122_1-1964-09.json,2,1,septembre,1964
163122_1-1965-08.json,1,1-2,août-septembre,1965
163122_2-1968-04.json,5,7,avril,1968
163122_2-1968-05.json,5,8-9,été,1968
163122_2-1966-01.json,3,6,janvier,1966
163122_1-1965-05.json,2,9,mai,1965
163122_1-1964-04.json,,7,avril,1964
163122_1-1964-12.json,2,4,décembre,1964
163122_2-1968-02.json,5,5,février,1968
163122_1-1963-11.json,,2,novembre,1963
163122_1-1964-03.json,,6,mars,1964
163122_1-1965-02.json,2,6,février,1965
163122_2-1966-11.json,4,3-4,nov.-déc.,1966
163122_1-1965-03.json,2,7,mars,1965
163122_2-1967-10.json,5,2-3,oct.-nov.,1967
163122_1-1964-02.json,,5,février,1964
163122_1-1963-10.json,1,1,octobre,1963
163122_2-1968-03.json,5,6,mars,1968
